ופקיד וּפַקֵּּ[י]ד:ס=שפיקד
איהי אִיהִי:כינוי,שני,נקבה,יחיד=הִיא
אילנא אִילָנָא:שם-עצם,זכר,יחיד=אִילָן
אילני אִילָנֵי:שם-עצם(אִילָנָא),זכר,רבים=אִילָנוֹת
אימת אֵימַת:
אימתי אֵימָתַי:
אינהו אִינְהוּ:כינוי,שלישי,זכר,רבים=הֶם
אינון אִינּּוּן:כינוי,שלישי,זכר,רבים=הֶם
אית אִית:קיום=יֵשׁ
אכסיף אַכְסֵ[י]ף:הפעיל(כסף),שלישי,זכר,יחיד,עבר=הִכְסִיף
אלפי אַלְפֵי:מספר=אֲלָפִים
אלפין אַלְפִין:מספר=אֲלָפִים
אמליכו אַמְלִיכוּ:הפעיל(מלך),שני,זכר,רבים,ציווי=הַמְלִיכוּ|הפעיל(מלך),שלישי,זכר,רבים,עבר=הִמְלִיכוּ אִמְּלִיכוּ:נפעל(מלך),שני,זכר,רבים,ציווי=הִמָּלְכוּ|נפעל(מלך),שלישי,זכר,רבים,עבר=נִמְלְכוּ
אמרת אֲמַרְתְּ:פעל(אמר),שני,זכר,יחיד,עבר=אָמַרְתָּ אֲמַרַת:פעל(אמר),שלישי,נקבה,יחיד,עבר=אָמְרָה
אנא אֲנָא:כינוי,ראשון,זכר-נקבה,יחיד=אֲנִי
אנח אַנַּח:הפעיל(נוח),ראשון,זכר-נקבה,יחיד,עתיד=אַנִּיחַ|הפעיל(נוח),שלישי,זכר,עבר=הִנִּיחַ
אנפאי אַנְפַּאי:שם-עצם(אַפָּא),זכר,יחיד+מושא,ראשון,זכר-נקבה,יחיד=פָּנַיי
אנפוהי אַנְפּוֹ{הִ}י:שם-עצם(אַפָּא),זכר,רבים+מושא,שלישי,זכר,יחיד=פָּנָיו
אנפי אַנְפֵּי:שם-עצם(אַפָּא),זכר,רבים=פָּנִים
אנפיה אַנְפֵּ[י]הּ:שם-עצם(אַפָּא),זכר,יחיד+מושא,שלישי,זכר,יחיד=פָּנוֹ(פָּנָיו)
אסהדנא אַסְהֵדְנָא:פיעל(סהד),ראשון,זכר-נקבה,יחיד,עבר=הֵעַדְתִּי
אפיקת אַפֵּ[י]קַת:הפעיל(נחת),שלישי,נקבה,יחיד,עבר=הוֹצִיאָה אַפֵּי]קְתְּ:הפעיל(נחת),שני,זכר,יחיד,עבר=הוֹצֵאתָ|הפעיל(נחת),שני,נקבה,יחיד,עבר=הוֹצֵאת
ארבע אַרְבַּע:מספר,נקבה
ארבעא אַרְבְּעָא:מספר,זכר
ארבעין אַרְבְּעִין:מספר
אריכא אֲרִיכָא:תואר-השם,זכר,יחיד=אָרוֹךְ|תואר-השם,זכר,יחיד,נסמך=אֲרוֹךְ
אריכי אֲרִיכֵי:תואר-השם,זכר,רבים=אֲרוּכִּים
אריכין אֲרִיכִין:תואר-השם,זכר,רבים=אֲרוּכִּים
אשגח אַשְׁגַּח:הפעיל(שגח),ראשון,יחיד,עתיד=אַבְחִין|הפעיל(שגח),שני,זכר,יחיד,ציווי=הַבְחֵן|הפעיל(שגח),שלישי,זכר,יחיד,עבר=הִבְחִין
אשגחן אַשְׁגְְּחַן:ס=מבחינים
אשלים אַשְׁלִים:התפעל(שלם),שני,נקבה,יחיד,ציווי=הַשְׁלִימִי|התפעל(שלם),שלישי,נקבה,יחיד,עבר=הִשְׁלִימָה אַשְׁלֵ[י]ם:התפעל(שלם),ראשון,יחיד,עתיד=אַשְׁלִים|התפעל(שלם),שני,זכר,יחיד,ציווי=הַשְׁלֵם|התפעל(שלם),שלישי,זכר,יחיד,עבר=הִשְׁלִים אֲשַׁלֵּם:פיעל(שלם),ראשון,יחיד,עתיד=אֲשַׁלֵּם
אשתכח אִשְׁתְּכַח:נפעל(שכח),1xsf=אֶמָּצֵא|נפעל(שכח),2msi=הִמָּצֵא|נפעל(שכח),2fsi=הִמָּצְאִי|נפעל(שכח),3msp=נִמְצָא
אתגלי אִתְגַּלֵּּי:ס
אתגליין אִתְגַּלְְּּיָ[י]ן:ס
אתיישב אִתְיְּ[י]שַּּב:ס
אתכנשו אִתְכְְּנַשׁוּ:ס=התכנסו
אתמנו אִתְמְְנוּ:ס=נמנו
אתמסראן אִתְמַסְְרָאן:ס=נמסרו
אתתקנו אִתְתְְּקַּּ‾נוּ:ס=התתקנו
באדרא בְְּאִדְְּּרָא:שם-עצם(אדרא),זכר,יחיד=באדרא
באתריה בְְּאַתְרֵ[י]הּ:שם-עצם(אתרא),זכר,יחיד=במקומו
בגוויה בְְּגַוֵּּ[ו][י]הּ:ס
בגוויהו בְְּגַוַּּ[ו]יְהוּ:בתוכם
בדעתא בְְּדַעְתָּא:בס=בדעת
בדקניה בְּדִקְנֵ[י]הּ:שם-עצם(דקנא),זכר,יחיד=בזקנו
בההוא בְְּהַהוּא:ס
בחושבנה בְְּחוּשְׁבָּנָא:ס
בחיזו בְְּחֵיזוּ:שם-עצם(חיזו),זכר,יחיד=במראה
בחכמתא בְְּחָכְמְְתָא:שם-עצם(חכמתא),נקבה,יחיד=חוכמה
בחקלא בְְּחַקְלָא:שם-עצם(חקלא),זכר,יחיד=בשדה
ביה בֵּ[י]הּ:ס
בכל בְְּכָל:ס
בלבאי בְְּלִיבִָּּי:ס=בליבי
במיא בְְּמַיָּּא:שם-עצם(מיא),זכר,רבים=במים
במלי בְְּמִלֵּּי:ס=בדברים
במלין בְְּמִלִּּין:שם-עצם(מילא),זכר,רבים=בדברים
בני בְְּנֵי:ס
בסוכלתנו בְְּסוּכְלְְתָנוּ:ס=בשכל
בעיטא בְְּעֵיטָא:שם-עצם(עיטא),נקבה,יחיד=בעצה
בפלגותא בְְּפַלְגוּתָא:ס
ברגלין בְְּרִגְלִין:שם-עצם(רגלא),זכר,רבים=ברגליים
ברוחא בְְּרוּחָא:שם-עצם,זכר,יחיד=ברוח
ברוחיה בְְּרוּחֵ[י]הּ:שם-עצם(רוחא),זכר,יחיד=ברוחו
ברזא בְְּרָזָא:שם-עצם,זכר,יחיד=בסוד
ברזי בְְּרָזֵי:שם-עצם(רזא),זכר,רבים=בסודות
ברי בְְּרִי:שם-עצם(ברא),זכר,יחיד=בני
בריה בְְּרֵ[י]הּ:שם-עצם(ברא),זכר,יחיד=בנו
בריך בְְּרִיךְ:ס=ברוך
בשולי בְְּשׁוּלֵי:שם-עצם(שולא),זכר,רבים=בשולי
בשעריה בְּשַׂעֲרֵ[י]הּ:שם-עצם(שערא),זכר,יחיד=בשערו
בשעתא בְְּשַׁעֲתָּא:מילת-חיבור(ו)+שם-עצם(שעתא)
בתקונוי בְְּתִקּּוּנוֹי:שם-עצם(תקונא),זכר,רבים=בתקוניו
בתקוניכון בְְּתִקּּוּנֵיכוֹן:שם-עצם(תקונא),זכר,רבים=בתקוניכם
בתקפיה בְְּתֻקְפֵ[י]הּ:מילת-יחס(ב)+שם-עצם(תקפא)+שייכות(דידיה),שלישי,זכר,יחיד
גוונא גַּוְ[ו]נָא:שם-עצם,זכר,יחיד=גוון
גלי גַּלֵּּי:ס
גלינא גַּלֵּּינָא:ס=מגלני
דאבנין דְְּאַבְנִין:שם-עצם(אבנא),זכר,יחיד=דאבן
דאורייתא דְְּאוֹרַיְ[י]תָא:שם-עצם,נקבה,יחיד=דתורה
דאיהי דְְּאִיהִי:ס=שהיא
דאנח דְְּאָנַח:הפעיל(נוח),שלישי,זכר,יחיד,עבר
דאנפוהי דְְּאַנְפּוֹהִי:שם-עצם(אנפא),זכר,רבים=דפניו
דאתגלי דְְּאִתְגַּלֵּּי:ס
דאתי דְְאָתֵי:ס
דבי דְְּבֵי:שם-עצם,זכר,יחיד=דבית
דבעי דְְּבָעֵי:ס
דברשותיה דְְּבִרְשׁוּתֵ[י]הּ:שם-עצם(רשותא),נקבה,יחיד=שברשותו
דהא דְְּהָא:ס
דחברייא דְְחַבְרַיָּּ[י]א:שם-עצם,זכר,רבים=החברים
דחד דְְּחַד:ס=דאחד
דחובא דְְּחוֹבָא:סתם=בהחטא
דחוור דְְּחִוָּּ[ו]ר:ס
דחוורתא דְּחִוַּ[ו]רְתָּא:שם-עצם,נקבה,יחיד=דלבנה
דחיל דָּחֵ[י]ל:ס
דטחנין דְְּטָחֲנִין:ס
דטמירין דִּטְְמִירִין:ס
דיאות דְְּיָאוּת:ס=שיאות
דיליה דִּילֵ[י]הּ:ס
